Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC001_Suite_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,,2018-09-17 14:11:45,2018-09-17 14:13:46,2m - 0.821s,PASSED
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:11:46,2018-09-17 14:12:02,15.713s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:11:47,2018-09-17 14:11:51,3.931s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:11:51,2018-09-17 14:11:52,1.211s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:11:52,2018-09-17 14:11:52,0.131s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:11:52,2018-09-17 14:11:52,0.244s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:11:52,2018-09-17 14:11:52,0.160s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:11:52,2018-09-17 14:11:52,0.041s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:11:52,2018-09-17 14:11:53,0.831s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:11:53,2018-09-17 14:11:54,1.018s,PASSED
comment,Chrome 68.0.3440.106,,2018-09-17 14:11:54,2018-09-17 14:11:54,0.008s,PASSED
selectOptionByLabel,Chrome 68.0.3440.106,,2018-09-17 14:11:54,2018-09-17 14:11:54,0.284s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:11:54,2018-09-17 14:11:55,0.093s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:11:55,2018-09-17 14:11:56,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:11:56,2018-09-17 14:11:56,0.082s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:11:56,2018-09-17 14:11:57,1.003s,PASSED
sendKeys,Chrome 68.0.3440.106,,2018-09-17 14:11:57,2018-09-17 14:11:57,0.078s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:11:57,2018-09-17 14:11:58,1.003s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:11:58,2018-09-17 14:11:58,0.351s,PASSED
click,Chrome 68.0.3440.106,,2018-09-17 14:11:58,2018-09-17 14:11:58,0.138s,PASSED
takeScreenshot,Chrome 68.0.3440.106,,2018-09-17 14:11:58,2018-09-17 14:11:59,0.408s,PASSED
delay,Chrome 68.0.3440.106,,2018-09-17 14:11:59,2018-09-17 14:12:02,3.004s,PASSED
Statement - dd(),Chrome 68.0.3440.106,,2018-09-17 14:12:02,2018-09-17 14:12:02,0.005s,NOT_RUN
,,,,,,
Test Cases/Project - TxQDemoTests/TC001_A)PrintBatchHeader(Variable),Chrome 68.0.3440.106,Print batch headers on TxQ Demo website using data driven approch .,2018-09-17 14:12:02,2018-09-17 14:12:16,14.777s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-17 14:12:02,2018-09-17 14:12:06,3.834s,PASSED
maximizeWindow,Chrome 68.0.3440.106,,2018-09-17 14:12:06,2018-09-17 14:12:07,1.175s,PASSED
